Program ID,Country,University (Select from list),Campus (where aplicable),Department /Institute Name,Academic Degree Granted                      (Select from list),Program Name en Castellano,Program Name,Creation Year,Activo (si/no),Program Web Site
,Costa Rica,Universidad Catolica de Costa Rica,,,Maestria,,Master's degree in Systems Engineering,,si,http://www.ucatolica.cr/index.php/maestrias-ingenieria-de-sistemas/102-artmisma.html
,Costa Rica,Universidad Fidelitas,,,Maestria,,Master in Audit of Information Technologies,,si,http://www.ufidelitas.ac.cr/posgrados_perfil_maestria_tecnologia_ti.php
,Costa Rica,Universidad Fidelitas,,,Maestria,,Master in Technology Management,,,http://www.ufidelitas.ac.cr/posgrados_perfil_profesional_gestion_tecnologia.php
,Costa Rica,Universidad Latinoamericana de Ciencia y Tecnologia,,,Maestria,,Master of Engineering in Information Technology with degree in Project Management,,,http://www.ulacit.ac.cr/carreras.php?id=101&tab=40
,Costa Rica,Universidad Nacional de Costa Rica,Campus Omar Dengo,Escuela de Ciencias Geográficas,Maestria,Maestría en Sistemas de Información Geográfica y Teledetección,Master's Degree in Geographic Information Systems and Remote Sensing,,,https://www.carreras.una.ac.cr/maestria-en-sistemas-de-informacion-geografica-y-teledeteccion/
,Costa Rica,Universidad Nacional de Costa Rica,Campus Presbítero Benjamín Núñez,Escuela de Informática,Maestria,Maestría en Tecnologías de la Información,Master in Information Tecnology,,,https://www.carreras.una.ac.cr/maestria-en-administracion-de-tecnologia-de-la-informacion/
,Costa Rica,Universidad Nacional de Costa Rica,,,Maestria,,Master's degree in Computer Science and Informatics,,,http://maestria.ecci.ucr.ac.cr/
,Costa Rica,Universidad San Jose,,,Maestria,,Master of Information Management,,,http://www.usanjose.ac.cr/products.asp?prod=72&cat=57&hierarchy=
,Costa Rica,Universidad Santa Lucia,,,Maestria,,Master in Audit of Electronic Processing of Data,,,http://www.usantalucia.com/
,Costa Rica ,Instituto Tecnologico de Costa Rica,,Escuela de Ingenieria en Computacion,Maestria,,Master's degree in Computing,1989,,http://www.tec.ac.cr/sitios/Docencia/computacion/maestria/Paginas/default.aspx
,El salvador,Universidad Tecnologica de El Salvador,,Decanato de Maestrias y Estudios de Postgrado,Maestria,,Master in Computing with degree on Computer Systems,1989,,http://www.utec.edu.sv/pgraduado-mcomputacion.html
,Guatemala,Universidad de San Carlos de Guatemala,,,Maestria,,Master's degree in Information Technologies and Communication,,,http://www.usac.edu.gt/postgrados.php
,Guatemala,Universidad Galileo,,,Maestria,,Master in Information Systems,,,http://www.galileo.edu/public/psin/index
,Guatemala,Universidad Galileo,,,Maestria,,Master in Computer Networks,,,http://www.galileo.edu/public/prc/index
,Guatemala,Universidad Galileo,,,Maestria,,Master in Information Technologies,,,http://www.galileo.edu/public/mti/index
,Guatemala,Universidad Galileo ,,,Maestria,,Master in Databases,,,http://www.galileo.edu/public/PBD/index
,Guatemala,Universidad Rafael Landivar,,,Maestria,,Master in Information Systems Management,,,http://www.url.edu.gt/PortalURL/Contenido.aspx?o=2613&s=87&sm=c35
,Mexico,Benemerita Universidad Autonoma de Puebla,,Facultad de Ciencias de la Computacion,Maestria,,Master's degree in Computer Science,,,http://www.cs.buap.mx/~posgrado/maestriacomputacion.html
,Mexico,Benemerita Universidad Autonoma de Puebla,,Facultad de Ciencias de la Computacion,Maestria,,Master in Information Technologies,,,http://www.cs.buap.mx/~posgrado/maestriainformacion.html
,Mexico,Benemerita Universidad Autonoma de Puebla,,Vicerrectoria de Investigacion y estudos de posgrado,Maestria,,Master of Sciences in Electronics,2001,,http://www.viep.buap.mx/posgrado/cpb/m13.htm
,Mexico,Centro de Investigacion Cientifica y de Educacion Superior de Ensenada,,,Doctorado,Doctorado en Ciencias de la computación,Doctorate in Computer Science,1994,,https://posgrados.cicese.mx/posgrado/doctorado/cienciasdelacomputacion/4
,Mexico,Centro de Investigacion Cientifica y de Educacion Superior de Ensenada ,,,Maestria,Maestría en Ciencias de la computación,Master's degree in Computer Science,1994,,https://posgrados.cicese.mx/posgrado/maestria/cienciasdelacomputacion/4
,Mexico,Centro de Investigacion e Innovacion Tecnologica - IPN,,Centro de Investigacion e innovacion tecnologica,Maestria,,Master in Advanced Technology,,,http://www.ciitec.ipn.mx/paginas/posgrado.html
,Mexico,Centro de Investigacion e Innovacion Tecnologica - IPN,,Centro de Investigacion e innovacion tecnologica,Doctorado,,Doctorate in advanced technology,,,http://www.ciitec.ipn.mx/paginas/posgrado.html
,Mexico,Centro de Investigacion en Ciencia Aplicada y Tecnologia Avanzada - IPN,Queretaro,Centro de investigacion en ciencia aplicada y tecnologia avanzada,Maestria,,Master in advanced technology,,,http://www.cicataqro.ipn.mx/wps/index.php?option=com_content&view=article&id=114&Itemid=76&lang=es
,Mexico,Centro de Investigacion en Ciencia Aplicada y Tecnologia Avanzada - IPN,,Centro de investigacion en ciencia aplicada y tecnologia avanzada,Doctorado,,Doctorate in advanced technology,,,http://www.cicataqro.ipn.mx/wps/index.php?option=com_content&view=article&id=115&Itemid=76&lang=es
,Mexico,Centro de Investigacion en Matematicas,,,Maestria,,Master's degree in Computer Science,,,http://www.cimat.mx/index.php?m=87
,Mexico,Centro de Investigacion en Matematicas,,,Maestria,,Master's degree in Software Engineering,,,http://www.cimat.mx/index.php?m=88
,Mexico,Centro de Investigacion en Matematicas,,,Doctorado,,Doctorate in Science with degree in Computer Science,,,http://www.cimat.mx/index.php?m=80
,Mexico,Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional,DF,Tecnologia y Ciencias de la Ingenieria,Maestria,,Master in Computer Science,,,http://www.cinvestav.mx/Posgrado/DetallePosgrado/tabid/1429/language/es-MX/Default.aspx?idpro=38
,Mexico,Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional,Zacatenco,Tecnologia y Ciencias de la Ingenieria,Maestria,,Master in Computer Science,,,http://www.cinvestav.mx/Posgrado/DetallePosgrado/tabid/1429/language/es-MX/Default.aspx?idpro=38
,Mexico,Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional,,,Doctorado,,Doctorate in Computer Science,,,http://www.cinvestav.mx/Posgrado/DetallePosgrado/tabid/1429/language/es-MX/Default.aspx?idpro=7
,Mexico,Centro de Investigacion y Desarrollo de Tecnologia Digital - IPN,,,Maestria,,Master of Science in Digital Systems,,,http://www.citedi.mx/node/44
,Mexico,Centro de Investigacion y Desarrollo de Tecnologia Digital - IPN,,,Doctorado,,Doctorate in Communications and Electronics,,,http://www.citedi.mx/node/47
,Mexico,Centro Nacional de Investigacion y Desarrollo Tecnologico,,,Maestria,,Master in Computer Science,,,http://www.cenidet.edu.mx/subaca/web-dcc/ciencias.html
,Mexico,Centro Nacional de Investigacion y Desarrollo Tecnologico,,,doctorado,,Doctorate in Computer Science,,,http://www.cenidet.edu.mx/subaca/web-dcc/ciencias.html
,Mexico,Fundacion Arturo Rosenblueth,,,Maestria,,Master of Information Systems,,,http://www.rosenblueth.mx/sitio/index.php?option=com_content&task=category&sectionid=6&id=25&Itemid=55
,Mexico,Fundacion Arturo Rosenblueth,,,Maestria,,Master's degree in Computer Science,,,http://www.rosenblueth.mx/sitio/index.php?option=com_content&task=category&sectionid=6&id=26&Itemid=56
,Mexico,Universidad Nacional Autónoma de México,,Instituto de Investigaciones en Matematicas Aplicadas y en Sistemas,Maestria,,Master in Science and Computer Engineering,1975,,http://www.mcc.unam.mx/
,Mexico,Universidad Nacional Autónoma de México,,Instituto de Investigaciones en Matematicas Aplicadas y en Sistemas,Doctorado,,Doctorate in Science and Computer Engineering,1975,,http://www.mcc.unam.mx/
,Mexico,"Instituto Nacional de Astrofisica, Optica y Electronica",Puebla,,Maestria,,Master in Electronics,1974,,http://yolotli.inaoep.mx/electronica/maestria.php
,Mexico,"Instituto Nacional de Astrofisica, Optica y Electronica",Puebla,,Maestria,,Master in Computer Science,1998,,http://yolotli.inaoep.mx/computacion/maestria.php
,Mexico,"Instituto Nacional de Astrofisica, Optica y Electronica",Puebla,,Doctorado,,Doctorate in Electronics,1974,,http://yolotli.inaoep.mx/electronica/doctorado.php
,Mexico,"Instituto Nacional de Astrofisica, Optica y Electronica",Puebla,,Doctorado,,Doctorate in Computer Science,1998,,http://yolotli.inaoep.mx/computacion/doctorado.php
,Mexico,Instituto Politecnico Nacional   ,Centro Nacional de Calculo,Centro Nacional de Calculo,Maestria,,Master in Computer Science,1965,,http://www.cic.ipn.mx/portalCIC/s2/
